;Address;Email Address;Name;Household Size
28;91 Smith Street 62310 Anthony Ville;gilbertmax@hotmail ;Mr. David Newton;3
29;15 Davis Street 48891 Leigh Ville;johnsonruth@morgan-shaw ;Rachel Robinson-Green;5
30;88 Parker Street 51582 Kathryn Ville;antonywilkinson@hotmail ;Amanda Smith;3
31;47 Whitehead Street 68018 Douglas Ville;christopher05@pearson-clark ;Ms. Patricia Kelly;4
32;83 Wilkinson Street 17927 Timothy Ville;ydaly@gmail ;Dominic Kelly;3
33;86 McKenzie Street 82387 Barbara Ville;amydavis@payne-hancock ;Sian Gallagher;3
34;59 Webb Street 11909 Wendy Ville;hewittterence@gmail ;Philip Jackson;4
35;84 Browne Street 17404 Joanne Ville;thompsonchristopher@arnold ;Norman Bates;3
36;16 Patel Street 24496 Pamela Ville;batesmarian@johnson ;Mr. Alex Butler;3
37;50 Porter Street 98657 James Ville;tobyjohnson@gmail ;Kathleen Smith;3
38;60 Hutchinson Street 50678 Clive Ville;owencraig@jones ;Ms. Jade Haynes;3
39;96 Parker Street 69317 Brenda Ville;znewton@yahoo ;Martin Cox;3
40;84 Burns Street 34287 Amber Ville;charlie63@hotmail ;Dr. Alexander Turner;3
41;84 Dickinson Street 40722 Jane Ville;morganricky@gmail ;Dr. Jade Parker;3
42;50 Dawson Street 06949 Joan Ville;cnash@williams ;Callum Greenwood-Brown;6
43;61 Houghton Street 45331 Charlie Ville;wrightgeorgina@hotmail ;Paul Lewis;4
44;85 Jackson Street 33404 Ian Ville;kjones@yahoo ;Aaron Davies-Harrison;5
45;58 Brown Street 62658 Roger Ville;ipotter@gibbs ;Samantha Jones;3
46;76 Hyde Street 64487 Jacqueline Ville;welchdonald@yahoo ;Samuel Hall;3
47;70 Thompson Street 55997 Ryan Ville;lydia73@fisher-carroll ;Kyle Jones-Bibi;3
48;36 Patel Street 63210 Kieran Ville;walshdiana@yahoo ;Emily Jones;3
49;02 Bevan Street 52644 Gerard Ville;westonolivia@gmail ;Mr. Shane Lowe;4
50;13 Brown Street 92038 Trevor Ville;dyerellie@lawson ;Sharon West;3
51;00 Smith Street 65206 Pamela Ville;nicholas36@hotmail ;Jacqueline Taylor;3
52;87 Begum Street 21680 Martin Ville;atkinsonmohamed@hotmail ;Jill Jackson;4
53;58 Vaughan Street 26260 Leslie Ville;holdenkate@gmail ;Christopher Hughes-Smith;3
54;31 Berry Street 82512 Conor Ville;janetgray@gmail ;Mr. Luke Frost;2
55;25 Wright Street 53828 Stanley Ville;bethany41@yahoo ;Anthony Evans-Dean;2
56;56 Howell Street 26811 Graham Ville;juliabrown@nicholson.com;Julia Arnold;3
57;47 Wilson Street 75063 Valerie Ville;owenlee@yahoo ;Kimberley Watts;3
58;99 Taylor Street 00545 Kyle Ville;roseeleanor@gmail ;Billy Hill;5
59;13 Benson Street 97759 Jack Ville;nicholsonrobert@robinson ;Mr. George Bray;4
60;58 Wilkins Street 73714 Marcus Ville;elliot10@hotmail ;Ms. Lindsey Stevens;3
61;92 Knowles Street 64498 Marilyn Ville;eduffy@hotmail ;Gary Jones;2
62;65 Edwards Street 73966 Albert Ville;lisacook@white-osborne ;Lindsey Weston-Daniels;3
63;14 Freeman Street 83979 Josh Ville;jilldean@yahoo ;James Houghton;2
64;07 Green Street 78568 Ryan Ville;nmorgan@yahoo ;Miss Stacey Taylor;3
65;39 Clarke Street 48345 Wayne Ville;dorothydavies@roberts-mills ;Malcolm Hancock-Ellis;3
66;17 Armstrong Street 12299 Barbara Ville;shaweileen@stokes ;Leon Young;3
67;00 Barton Street 40283 Louise Ville;donnellyderek@evans ;Hollie Macdonald;2
68;31 Hunter Street 74970 Iain Ville;abbiewalsh@hotmail ;Deborah Curtis-Short;2
69;03 Smith Street 37218 Kirsty Ville;osbornechloe@richards ;Mr. Elliott Morris;3
70;22 Smith Street 15452 Helen Ville;hudsonamy@hotmail ;Craig Bryant;2
71;76 Bates Street 53548 Thomas Ville;fhughes@hotmail ;Mrs. Jemma Connor;5
72;00 Webb Street 13169 Rita Ville;leon27@yates ;Dr. Stephanie Townsend;2
73;72 Robinson Street 96381 Colin Ville;wendy59@hotmail ;Kayleigh Morrison;5
74;57 Ellis Street 40223 Sharon Ville;jade56@collins-hancock.org;Duncan Anderson-Hayes;5
75;35 Fletcher Street 91656 Hilary Ville;robinsonlaura@gmail ;Shane Clements;4
76;72 Robinson Street 55022 Wayne Ville;xedwards@hotmail ;Leigh Reid;4
77;13 Wright Street 85819 Hilary Ville;williamspaige@stewart ;Alexandra Wilkinson-Patel;2
78;23 Bird Street 15977 Tracy Ville;xperkins@begum-harper ;Albert Hardy;3
79;57 Bell Street 86684 Kimberley Ville;jwood@evans.net;Mr. Victor Hunt;3
80;91 Whitehead Street 43585 Paige Ville;jennahunt@moore ;Amber Robinson;3
81;07 Burton Street 86970 Jordan Ville;elaine58@dixon ;Mr. Brandon Williams;2
82;04 Wong Street 82818 Jemma Ville;williamsmaria@carroll.net;Robin Howard;3
83;60 Hayes Street 59778 Suzanne Ville;fstorey@cross-ward.info;Dr. Amanda Cooper;4
84;36 Edwards Street 63695 William Ville;june69@law.info;Jack Powell;3
85;92 Moore Street 38926 Lynn Ville;ukirby@king-king.info;Dr. Suzanne Evans;3
86;31 Russell Street 05042 Stewart Ville;ahmedsandra@porter ;Grace Lowe;3
87;19 Cook Street 14654 Dominic Ville;gavin28@hotmail ;Jeffrey Gordon;5
88;27 Black Street 68353 Laura Ville;trevor31@gmail ;Miss Sian Turner;2
89;36 Morgan Street 97509 Vanessa Ville;barkerdeborah@richardson-daniels ;Steven Dennis;3
90;43 Sinclair Street 02847 Owen Ville;jeanphillips@law ;Tracey Davis;4
91;14 Nicholls Street 90981 Duncan Ville;zkaur@moore.org;Gillian Ball;2
92;33 Todd Street 88428 David Ville;urichards@harrison-wyatt.com;Dr. Guy Cooper;4
93;13 Patel Street 32414 Russell Ville;joanne48@yahoo ;Mrs. Rebecca Scott;3
94;75 Ali Street 82528 Josh Ville;gbryan@gmail ;Norman Smith-Jenkins;2
95;37 Evans Street 37711 Bernard Ville;gilldamian@thompson-kerr ;Dr. Aaron Moran;4
96;63 Field Street 24224 Hugh Ville;fowlercarly@bibi-harris.com;Dr. Gerald Franklin;2
97;83 Griffiths Street 51766 Christine Ville;lsummers@cox.net;Naomi Smith;2
98;31 Jones Street 09386 Kirsty Ville;phillipturner@gmail ;Kyle Hargreaves;3
99;87 Manning Street 40424 Conor Ville;nbartlett@hotmail ;Sharon Barker-Mitchell;4
100;73 Wilson Street 79335 Christine Ville;griffinbenjamin@yahoo ;Joshua Webb;3
101;71 Parry Street 78435 Richard Ville;russelljulian@gallagher ;Dr. Alexandra Lewis;3
102;13 Sharp Street 99960 Jonathan Ville;vcross@harper-patterson.org;Frank Shaw;3
103;16 Harrison Street 66596 Gregory Ville;nrobinson@campbell-lloyd ;Claire Foster;4
104;93 Gray Street 92234 Hannah Ville;wheelercarolyn@gmail ;Beverley Carr;3
105;96 Thompson Street 92024 Marie Ville;trevordyer@hotmail ;Ms. Anne Hancock;3
106;88 Wilson Street 49848 Sheila Ville;quinnchloe@gmail ;Stanley Scott;2
107;43 Lamb Street 10511 Samantha Ville;juliehall@gmail ;Miss Lynda Smith;4
108;73 Wright Street 97217 Katie Ville;jeffreygriffiths@gmail ;Joel Yates-White;5
109;70 Bennett Street 86979 Ellie Ville;barrysmith@yahoo ;Maureen Roberts-Jones;3
110;19 Wong Street 14812 Jacqueline Ville;cameron00@little.org;Ms. Marilyn Whittaker;2
111;95 Knight Street 22790 Jenna Ville;conor76@jones-edwards ;Mohammad Taylor-Cooke;4
112;90 Duffy Street 54929 Francis Ville;peteryoung@hotmail ;Bethany Ali;2
113;28 Hale Street 29626 Christopher Ville;chapmanmarc@hotmail ;Brandon Morris;4
114;60 Kennedy Street 18210 Damien Ville;leon56@hotmail ;Miss Leanne Shaw;4
115;08 Slater Street 23218 Nathan Ville;ericsanders@hotmail ;Frank Hall;3
116;41 Rice Street 38435 Christopher Ville;maurice40@hughes.info;Mr. Toby Morley;3
117;84 Kent Street 77666 Rhys Ville;jackdavies@matthews.org;Geraldine Holt-Ali;3
118;78 Lewis Street 29583 Kathleen Ville;dianagibbs@jones.org;Debra Parkinson;2
119;48 Rhodes Street 33253 Christopher Ville;nicole27@khan-greenwood ;Harriet Lewis;3
120;54 King Street 60035 Debra Ville;rhenderson@hotmail ;Mr. Nigel Burke;4
121;27 Mills Street 84121 Charlotte Ville;janetaylor@hotmail ;Ellie Humphries;3
122;73 George Street 85953 Janet Ville;pritchardhollie@bennett-whitehouse.net;Diane Parkes;3
123;21 Simpson Street 47196 Gerard Ville;lnorton@hotmail ;Denis Taylor;4
124;86 Cole Street 37923 Keith Ville;gwilson@yahoo ;Tom Marshall;3
125;05 Griffin Street 15369 Geraldine Ville;jayne99@blake ;Douglas Hodgson;4
126;88 Bell Street 74359 Lynne Ville;sylviamills@yahoo ;Gary Cox;2
127;24 Harrison Street 65832 Edward Ville;bethany26@davidson-campbell ;Mr. Gary Anderson;4
128;23 Watson Street 35569 Ruth Ville;patellisa@ali-stevens.org;Ms. Eleanor Bruce;3
129;87 Bell Street 27753 Daniel Ville;robsonjason@black.info;Adam Wall;3
130;24 Conway Street 64491 Ashley Ville;cookleanne@gmail ;Scott Jones;4
131;44 Williams Street 31723 Scott Ville;owen93@osullivan-pearson ;Nicola Clark;3
132;25 Wade Street 27296 Gerard Ville;andersongeraldine@yahoo ;Dr. Connor Johnson;2
133;46 Moore Street 44630 Beverley Ville;emma90@thorpe-jones.info;Dr. Sandra King;4
134;82 Murphy Street 66959 Josh Ville;henryraymond@gmail ;Louise Phillips;3
135;93 Cameron Street 49125 Lawrence Ville;conorharrison@hotmail ;Donna Franklin;4
136;75 Khan Street 99528 Carolyn Ville;rachelgough@smith.info;William Stewart;3
137;30 Middleton Street 57049 Catherine Ville;lindseyrichardson@yahoo ;George Moran;3
138;72 Roberts Street 60116 Denise Ville;mathewbutler@gmail ;Chelsea Bennett-Singh;4
139;57 Dale Street 03013 Reece Ville;randallcarolyn@yahoo ;Shane Baker;4
140;94 Willis Street 99587 Philip Ville;orobertson@gmail ;Melanie Wood;2
141;81 Hudson Street 65032 Maurice Ville;frankpearson@bell ;Jill King;2
142;29 Hall Street 83313 Mohamed Ville;irenemann@yahoo ;Miss Natalie Mills;3
143;75 Robson Street 69246 Rosemary Ville;bjones@gmail ;Dr. Donna Davison;2
144;18 Johnson Street 53743 Charles Ville;alicerussell@yahoo ;Rosie Hunt-Wilson;3
145;38 Brown Street 38258 Gail Ville;antony59@holmes ;Toby Hussain;2
146;96 Taylor Street 76026 Carolyn Ville;clarerowe@singh.net;Derek Cook;5
147;54 Richardson Street 52750 Scott Ville;marymartin@stephens ;Damien Turner;3
148;16 Cooper Street 41043 Phillip Ville;watsonjake@adams ;Leslie Williams;4
149;63 Evans Street 64828 Leanne Ville;bondtom@brooks-singh.net;Georgia Wall;4
150;24 Whittaker Street 37317 Lorraine Ville;whardy@yahoo ;Mrs. June Wyatt;3
151;79 Chapman Street 38976 Owen Ville;gracewilliams@hotmail ;Ann Owen;2
152;95 Rhodes Street 54785 Nicola Ville;bibisarah@dunn-todd.net;Dr. Dennis Houghton;4
153;47 Dickinson Street 56814 Jill Ville;smorgan@lewis ;Deborah Bond;3
154;16 Martin Street 05348 Hayley Ville;leanne67@edwards-webster ;Lee Morgan;4
155;72 Arnold Street 08510 Phillip Ville;cspencer@armstrong-khan ;Yvonne Morrison;4
156;04 Anderson Street 76579 Derek Ville;sbaker@yahoo ;Marian Collier;3
157;96 Clarke Street 77656 Alexandra Ville;nsingh@marshall.org;Janet Howe-Allen;3
158;63 Potter Street 92770 Louis Ville;lynnebennett@yahoo ;Ms. Ann Brooks;4
159;11 Fraser Street 43423 Guy Ville;hughessandra@mills.info;Lauren Shaw-Evans;3
160;87 Shah Street 38948 Nigel Ville;brucegerald@poole.info;Bernard Smith;4
161;95 Doyle Street 64370 Tina Ville;harry12@williams-miah ;Kim White;3
162;55 Allen Street 73102 Hayley Ville;shirley04@williams ;Ruth Nixon-Glover;2
163;94 Warren Street 27698 Heather Ville;deniseconnor@webb ;Miss Paula Smith;3
164;25 Carr Street 74612 Bethan Ville;ahall@gmail ;Jenna Russell;3
165;64 O'Connor Street 99941 Mark Ville;jhill@yahoo ;Mrs. Lynn Wilkinson;3
166;68 Murphy Street 49189 Benjamin Ville;davidsonpaige@johnston-hunt.net;Ms. Deborah Lee;3
167;73 Watson Street 37854 Albert Ville;pricesian@yahoo ;Jordan Humphries;3
168;48 Francis Street 40685 Mitchell Ville;francis33@burgess ;Francis Richardson;2
169;43 Robinson Street 52780 Bernard Ville;damiankelly@jackson ;Sean Davis;3
170;80 Barnes Street 02504 Elaine Ville;turnbulldanny@carroll-saunders ;Mary Marshall-Sharpe;3
171;82 Kelly Street 66143 Annette Ville;ksmith@wilkinson ;Maurice Atkinson;2
172;37 Myers Street 55526 Rachel Ville;grahamstuart@hotmail ;Jamie Butler;3
173;56 Baker Street 37437 Kevin Ville;shannonlee@hotmail ;Miss Julie Brennan;4
174;47 Reed Street 04761 Catherine Ville;clucas@adams.net;Mrs. Linda Nicholson;6
175;62 Davis Street 57013 Abbie Ville;justinsmith@hall ;Jamie Lewis-Jones;3
176;07 Clark Street 68314 Hazel Ville;sarahgreen@ward.org;Dr. Brandon Mistry;4
177;28 Murphy Street 46945 Frances Ville;dunnhilary@hotmail ;Ms. Hollie Perkins;3
178;62 Whitehouse Street 01084 Jeremy Ville;harry79@yahoo ;Ann Yates;3
179;69 Russell Street 91415 Vincent Ville;uedwards@walker-bowen ;Mrs. Eileen Sullivan;3
180;16 Simmons Street 25796 Adrian Ville;uharrison@hotmail ;Alexandra West-Cooke;3
181;21 Baker Street 30323 Thomas Ville;tstephenson@yahoo ;Jordan Stephens;3
182;65 Dawson Street 91036 Allan Ville;clarkesian@bell ;Bradley Pritchard;3
183;82 Abbott Street 18374 Leslie Ville;cherylallen@yahoo ;Stanley Williams;3
184;60 Davies Street 19817 Hannah Ville;pjohnston@yahoo ;Stuart Barlow;3
185;73 Sullivan Street 75304 Dennis Ville;fullereleanor@roberts-hamilton.net;Charlie Barker;5
186;62 Williamson Street 18971 Damien Ville;fosterkirsty@lawrence ;Leah Humphreys-Brooks;4
187;06 Andrews Street 72922 Julian Ville;jemma41@campbell ;Mrs. Anna Saunders;3
188;40 Day Street 94850 Trevor Ville;katherineelliott@hotmail ;Mrs. Emily Saunders;2
189;68 Kaur Street 28552 Nigel Ville;amber70@grant-anderson ;Duncan Kemp;3
190;84 Owen Street 29832 Ricky Ville;dylanbarker@gmail ;Joel Smith;3
191;25 Brown Street 02179 William Ville;jacobhill@barker.com;Jennifer Allen;3
192;97 Scott Street 75985 Paul Ville;jakekay@wright ;Sam Butler-Stewart;3
193;19 Mann Street 53653 Richard Ville;martyn91@yahoo ;Geraldine Chambers;3
194;41 Williams Street 72772 Ross Ville;ritaroberts@yahoo ;Barbara Turner;2
195;04 Lord Street 36495 Tracy Ville;bradyhenry@clarke ;Jenna Gray;4
196;13 Clark Street 72166 Carole Ville;leonardroger@gmail ;Mr. Ross Johnson;3
197;66 Phillips Street 13235 Christopher Ville;pcarr@gmail ;Kathryn Jones;2
198;27 Thomas Street 77512 Garry Ville;kathleen83@carter-carter.com;Mrs. Amanda Robinson;4
199;93 White Street 46976 Sara Ville;younganthony@begum.net;Mohamed Elliott;4
200;79 Walker Street 80447 Bryan Ville;mwilkinson@yahoo ;Dr. Dawn May;3
201;32 Mason Street 14230 Brandon Ville;adrian10@griffiths.org;Leon Cooper;2
202;87 Williams Street 52121 Pamela Ville;christine10@gmail ;Kirsty Hill;3
203;21 Steele Street 44569 Wayne Ville;gilliancartwright@henderson ;Ms. Eleanor Bates;3
204;23 Ward Street 51375 Molly Ville;pparkes@phillips-daly.org;Charlotte Smith;3
205;45 Sullivan Street 18977 Linda Ville;nortonmohamed@higgins-howell ;Mrs. Amy Watson;5
206;66 Warren Street 95154 Janet Ville;kirsty12@yahoo ;Hugh Cox-Carter;3
207;49 Edwards Street 72327 Hazel Ville;adamsdominic@gmail ;Mr. Joel Spencer;2
208;09 Dean Street 61228 Debra Ville;danielle51@yahoo ;Elliot Barlow;4
209;74 Morris Street 30693 Shannon Ville;stuartbaker@powell.info;Mary Rhodes;4
210;57 Thomas Street 72128 Tina Ville;denniscatherine@white ;Kathleen Ali-Wright;2
211;70 Nicholson Street 84904 Laura Ville;vpeters@lowe.net;Mr. Duncan Stevens;4
212;22 Hunter Street 92521 Danielle Ville;nigelnorton@yahoo ;Mr. Daniel Wilson;2
213;12 Newman Street 28187 Rhys Ville;vincent34@hotmail ;Beverley Foster;3
214;49 Marshall Street 84364 Jemma Ville;nicholas73@banks-kent.info;Tracey Hawkins-Griffiths;3
215;60 Ward Street 28276 Megan Ville;lucyoliver@williamson.com;Paige Walker;4
216;69 Walker Street 46860 Holly Ville;janice34@hotmail ;Miss Shirley Cross;3
217;57 Williams Street 44148 Hilary Ville;smithmichael@stokes-howell ;Cheryl Bond-Carey;3
218;93 Singh Street 22275 Joan Ville;max90@murphy-brooks ;Leigh Green;5
219;43 Mahmood Street 86347 Alexander Ville;brownleonard@hunter-jones.org;Brett Hunter;3
220;09 Rowley Street 04559 Danielle Ville;joseph14@harris ;Miss Deborah Pratt;3
221;49 Tucker Street 87941 Carly Ville;cakhtar@godfrey-begum.com;Mr. Louis Miller;3
222;60 Jones Street 96036 Kieran Ville;smithdylan@yahoo ;Glenn Carey;3
223;39 Hewitt Street 41004 Ian Ville;yelliott@hotmail ;Cheryl Stephenson;3
224;81 Taylor Street 70450 Cheryl Ville;hollycrawford@yahoo ;Conor Holmes-Heath;4
225;37 Fowler Street 42268 Dale Ville;yparry@yahoo ;Pauline Williams;3
226;89 Robinson Street 83898 Dominic Ville;angela30@hotmail ;Sophie Davies;3
227;55 Morgan Street 89637 Geoffrey Ville;dominic68@parsons ;Joe Roberts;3
228;08 Curtis Street 78685 Ann Ville;kylearnold@gmail ;Luke Griffiths;2
229;39 Woods Street 60989 Alan Ville;nathanpatel@potter-harris ;George Smith;3
230;46 Jackson Street 89229 Diane Ville;inash@alexander.org;Dr. Lawrence Green;3
231;93 Woods Street 43280 Michael Ville;julian59@pollard-patel ;Jayne Smith;4
232;64 Baxter Street 78701 Leslie Ville;jonesjill@yahoo ;Simon Howarth;3
233;91 Harvey Street 37012 Jordan Ville;rrobinson@hotmail ;Beth Hughes-Walker;2
234;88 Walker Street 77432 Nathan Ville;martynstanley@hotmail ;Gerard Murray;3
235;02 Chambers Street 49693 Neil Ville;nicolamoss@smith.net;Callum King;2
236;19 Morris Street 28258 Elliott Ville;scotttracey@wright.net;Claire Tyler;3
237;00 Mason Street 60872 Joe Ville;cheryl26@hotmail ;Duncan Thomson-Warren;4
238;42 Sanders Street 67385 Danielle Ville;pearsonstanley@griffiths ;Graeme Sheppard;3
239;70 Scott Street 02156 Amelia Ville;potterphillip@collier.com;Brandon Davies-Roberts;3
240;13 Talbot Street 68637 Norman Ville;janicewilson@palmer ;Shannon Clarke;4
241;02 Hanson Street 50062 Rosemary Ville;craig72@gmail ;Josh Evans;4
242;94 Newman Street 75657 Elaine Ville;campbellmelanie@obrien ;Dr. Aaron Kirby;4
243;25 Brooks Street 75428 Leslie Ville;marie54@rose ;James Wallis;5
244;63 Watson Street 50453 Natasha Ville;obrienpaula@clarke-collins.com;Clive Turnbull;3
245;47 Morris Street 40039 Liam Ville;amelia58@robinson.com;Cheryl Armstrong;3
246;94 Wilkinson Street 99479 Donna Ville;hendersonlinda@smith ;Denise O'Sullivan;3
247;34 Rowe Street 14710 Ricky Ville;ehussain@jones ;Rachel Rees;3
248;41 Richardson Street 74895 Jacqueline Ville;lmorris@hotmail ;Heather Jones;3
249;36 Howard Street 33310 Darren Ville;holdencarl@gmail ;Victoria Hawkins;4
250;12 Boyle Street 37437 Iain Ville;williamsjoyce@hotmail ;Karen Shaw;3
251;79 Reed Street 37203 Lynn Ville;rickymills@oliver.org;Molly Stokes;3
252;13 Gardner Street 97841 Abigail Ville;shannon57@swift.org;Victor Taylor;5
253;16 Hunter Street 38122 Irene Ville;mpowell@simpson ;Dr. Annette Brady;3
254;86 Campbell Street 62217 Sean Ville;tmitchell@hotmail ;Dr. Maurice Norris;5
255;75 Collins Street 66974 Donald Ville;leigh00@gmail ;Alison Vincent;4
256;77 Stephens Street 23529 Deborah Ville;sylvia75@hotmail ;Jodie Graham;4
257;81 Harvey Street 81595 Shane Ville;suzanne48@douglas.org;Marian Atkinson;3
258;64 Vincent Street 03009 Mark Ville;dawngreenwood@yahoo ;Dr. Chelsea Murphy;6
259;15 Taylor Street 97785 Jill Ville;jwest@richardson.info;Jill Taylor-Hale;4
260;49 Mills Street 30457 Tina Ville;alicebaldwin@hotmail ;Laura Hall;4
261;34 Nicholls Street 15074 Mathew Ville;rhys33@williams ;Mark Powell;3
262;94 Robinson Street 28385 Aimee Ville;across@taylor.net;Dr. Ellie Austin;3
263;39 Morley Street 05717 Paige Ville;bmason@gmail ;Ms. Vanessa Sinclair;2
264;90 Lane Street 17204 Marie Ville;elliot44@yahoo ;Joshua Mann-Marsh;4
265;23 Frost Street 21831 Jenna Ville;ellisclive@gough ;Mr. Allan Wells;5
266;88 Cameron Street 55231 Stanley Ville;louisgray@phillips ;Mohammed Bishop-Morgan;3
267;03 Marshall Street 39024 Natasha Ville;kdavidson@yahoo ;Bruce West;3
268;41 Elliott Street 72736 Leah Ville;chelsea01@heath ;Connor Robinson;3
269;57 Newman Street 38618 Wayne Ville;faulknerjenna@hotmail ;Shirley Singh;4
270;11 Young Street 95543 Glenn Ville;fwatts@gmail ;Ms. Joyce Bell;3
271;46 Davies Street 72657 Leigh Ville;rturnbull@hotmail ;Miss Jean Holloway;3
272;53 Rees Street 55878 Danny Ville;jsingh@yahoo ;Iain Steele-Bond;2
273;29 Richards Street 54566 Carly Ville;robintaylor@shaw.org;Miss Cheryl Patel;4
274;01 Powell Street 29220 Stanley Ville;stewart34@baxter.org;Sarah Jones-Connolly;2
275;42 Evans Street 92139 Sheila Ville;philip78@sharpe-ross ;Mr. Graeme Knowles;3
276;91 Morris Street 12050 Diana Ville;klambert@clarke-edwards.com;Dr. Terence Sharpe;3
277;44 Whittaker Street 29986 Abdul Ville;philiplucas@gmail ;Miss Zoe Walker;4
278;55 Rose Street 01420 Marc Ville;reeveslorraine@thomas.org;Benjamin Davies-Payne;3
279;19 Johnson Street 07301 Melissa Ville;millspeter@ellis-hayward ;Dr. Bethan Moore;4
280;56 Harris Street 61416 Chelsea Ville;lyncharthur@white.info;Sean Bevan;4
281;20 Todd Street 65471 Shane Ville;lydia72@williams ;Dr. Caroline Davies;3
282;17 Vaughan Street 01102 Callum Ville;mauricehoward@murray ;Angela Lee;4
283;28 Rowley Street 44112 Sylvia Ville;andreastone@gmail ;Janice Khan;2
284;55 Smith Street 03568 Gary Ville;elliottjames@hotmail ;Mr. John O'Connor;3
285;68 Moss Street 36586 Judith Ville;valerie71@bennett-johnson.org;Grace Lewis;3
286;91 Cooke Street 18582 Kathryn Ville;carolmahmood@yahoo ;Howard Davison;3
287;48 Turner Street 34749 Laura Ville;oparker@yahoo ;Pauline Mitchell-Wilson;2
288;83 Patel Street 44548 Jane Ville;geraldcole@gmail ;Dr. Nicholas Williams;3
289;51 Peacock Street 30892 Bryan Ville;perkinsvictor@gmail ;Anthony Elliott;3
290;09 Cox Street 22008 Teresa Ville;rhysgriffiths@barnes-collins ;Joanne Thompson;3
291;49 Elliott Street 07198 Anthony Ville;vscott@connor ;Grace Walker;3
292;48 Hughes Street 86683 Holly Ville;michellethomas@gmail ;Olivia Davies;3
293;86 Ward Street 91650 Patricia Ville;jay62@yahoo ;Ruth Iqbal;4
294;85 Booth Street 04865 Janet Ville;gcollins@taylor ;Stanley Dean;2
295;77 Wheeler Street 16068 Pauline Ville;wblake@butler.net;Terry Dunn;4
296;11 Fleming Street 53636 Natalie Ville;katherine56@richardson-brown.net;Josh Thomas;5
297;49 Blake Street 84490 Beth Ville;jbutler@thornton-lewis ;Elliott Thomas;2
298;87 Carey Street 91420 Norman Ville;lynnmartin@gmail ;Victor Wilson;3
299;31 Lamb Street 83404 Katherine Ville;charles48@bowen ;Natalie Weston;3
300;56 Lamb Street 66768 Conor Ville;reece01@gray-field ;Mr. Bernard Martin;3
301;45 Day Street 94712 Claire Ville;marilynharding@hotmail ;Mr. Raymond Hill;4
302;41 Davies Street 42302 Lewis Ville;noblejordan@harris-bishop ;Anne Hunter-Morgan;3
303;96 Martin Street 87610 Lorraine Ville;douglasdawson@lamb ;Michael Coates;3
304;65 Williams Street 22472 Martyn Ville;lkirby@gmail ;Miss Clare Collins;3
305;82 Bond Street 12308 Rosie Ville;alex98@gmail ;Mr. Patrick Wilson;2
306;45 Clarke Street 10877 Melissa Ville;gibsonlaura@yahoo ;Chloe Buckley;3
307;69 White Street 77338 Amelia Ville;gwoods@lees ;Daniel Miller;3
308;76 Barnes Street 39644 Megan Ville;hlong@hotmail ;Bruce Day-Gardiner;3
